Entry	Entry name	Status	Protein names	Gene names	Organism	Length
O25566	O25566_HELPY	unreviewed	Flagellar basal body protein	HP_0908	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	605
O25158	O25158_HELPY	unreviewed	D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)	HP_0397	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	524
O24946	O24946_HELPY	unreviewed	Serine transporter (SdaC)	HP_0133	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	413
O25131	O25131_HELPY	unreviewed	Uncharacterized protein	HP_0367	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	202
O25331	O25331_HELPY	unreviewed	Toxin-like outer membrane protein	HP_0610	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	1943
O25641	O25641_HELPY	unreviewed	Uncharacterized protein	HP_0993	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	83
O25086	O25086_HELPY	unreviewed	Outer membrane protein (Omp9)	HP_0317	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	745
O25201	O25201_HELPY	unreviewed	Uncharacterized protein	HP_0454	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	232
O25239	O25239_HELPY	unreviewed	Transporter	HP_0497	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	442
O24925	O24925_HELPY	unreviewed	Methyl-accepting chemotaxis protein (TlpA)	HP_0099	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	675
O25261	O25261_HELPY	unreviewed	Cag pathogenicity island protein (Cag6)	HP_0526	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	199
O25935	O25935_HELPY	unreviewed	Uncharacterized protein	HP_1384	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	68
O24985	O24985_HELPY	unreviewed	Uncharacterized protein	HP_0185	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	267
O25450	O25450_HELPY	unreviewed	Molybdopterin biosynthesis protein (MoeB)	HP_0755	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	210
O24945	O24945_HELPY	unreviewed	Uncharacterized protein	HP_0131	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	33
O25385	O25385_HELPY	unreviewed	Uncharacterized protein	HP_0674	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	228
O26101	O26101_HELPY	unreviewed	Methicillin resistance protein (Llm)	HP_1581	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	336
O25784	O25784_HELPY	unreviewed	Glutamine ABC transporter, permease protein (GlnP)	HP_1170	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	223
O26042	O26042_HELPY	unreviewed	Iron-regulated outer membrane protein (FrpB)	HP_1512	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	877
O25307	O25307_HELPY	unreviewed	Endonuclease III (EC 4.2.99.18) (DNA-(apurinic or apyrimidinic site) lyase)	nth HP_0585	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	218
O25816	O25816_HELPY	unreviewed	RDD domain-containing protein	HP_1217	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	159
O25167	O25167_HELPY	unreviewed	Uncharacterized protein	HP_0411	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	105
O25188	O25188_HELPY	unreviewed	DNA topoisomerase (EC 5.6.2.1)	HP_0440	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	677
O25417	O25417_HELPY	unreviewed	ABC transporter, ATP-binding protein	HP_0715	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	240
O26052	O26052_HELPY	unreviewed	Uncharacterized protein	HP_1524	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	115
O25925	O25925_HELPY	unreviewed	Cell shape-determining protein MreB	mreB HP_1373	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	347
O25223	O25223_HELPY	unreviewed	Site-specific DNA-methyltransferase (adenine-specific) (EC 2.1.1.72)	HP_0478	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	545
O25052	O25052_HELPY	unreviewed	ATP-dependent nuclease (AddB)	HP_0275	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	430
O25580	O25580_HELPY	unreviewed	Outer membrane protein (Omp22)	HP_0923	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	369
O25491	O25491_HELPY	unreviewed	Uncharacterized protein	HP_0811	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	108
O25768	O25768_HELPY	unreviewed	Uncharacterized protein	HP_1150	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	115
O25453	O25453_HELPY	unreviewed	Conserved hypothetical integral membrane protein	HP_0758	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	437
O25552	O25552_HELPY	unreviewed	Uncharacterized protein	HP_0892	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	90
O25643	O25643_HELPY	unreviewed	Integrase/recombinase (XerD)	HP_0995	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	355
O25105	O25105_HELPY	unreviewed	Uncharacterized protein	HP_0338	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	188
O25856	O25856_HELPY	unreviewed	NADH-ubiquinone oxidoreductase, NQO3 subunit (NQO3)	HP_1266	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	844
O25891	O25891_HELPY	unreviewed	Uncharacterized protein	HP_1333	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	382
O25233	O25233_HELPY	unreviewed	Putative potassium channel protein, putative	HP_0490	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	378
O25061	O25061_HELPY	unreviewed	Uncharacterized protein	HP_0287	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	172
O25820	O25820_HELPY	unreviewed	D-lactate dehydrogenase (Dld)	HP_1222	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	948
O25461	O25461_HELPY	unreviewed	Uncharacterized protein	HP_0766	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	274
O25460	O25460_HELPY	unreviewed	Uncharacterized protein	HP_0765	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	102
O25532	O25532_HELPY	unreviewed	DsbD_2 domain-containing protein	HP_0861	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	246
O25379	O25379_HELPY	unreviewed	Uncharacterized protein	HP_0668	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	607
O25749	O25749_HELPY	unreviewed	Uncharacterized protein	HP_1124	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	331
O25705	O25705_HELPY	unreviewed	Uncharacterized protein	HP_1065	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	135
O25463	O25463_HELPY	unreviewed	Uncharacterized protein	HP_0771	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	245
O25892	O25892_HELPY	unreviewed	NYN domain-containing protein	HP_1334	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	224
O24900	O24900_HELPY	unreviewed	Uncharacterized protein	HP_0060	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	813
O25410	O25410_HELPY	unreviewed	Outer membrane protein (Omp15)	HP_0706	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	273
O26064	O26064_HELPY	unreviewed	Cytochrome b	HP_1539	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	412
O26093	O26093_HELPY	unreviewed	Uncharacterized protein	HP_1573	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	254
O25873	O25873_HELPY	unreviewed	Conserved hypothetical secreted protein	HP_1286	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	182
O25969	O25969_HELPY	unreviewed	Uncharacterized protein	HP_1426	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	180
O26020	O26020_HELPY	unreviewed	Conserved hypothetical integral membrane protein	HP_1486	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	376
O25530	O25530_HELPY	unreviewed	ADP-L-glycero-D-mannoheptose-6-epimerase (RfaD)	HP_0859	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	330
O25661	O25661_HELPY	unreviewed	Amino acid permease (RocE)	HP_1017	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	519
O26034	O26034_HELPY	unreviewed	MTS domain-containing protein	HP_1504	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	238
O25204	O25204_HELPY	unreviewed	Uncharacterized protein	HP_0457	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	87
O25734	O25734_HELPY	unreviewed	Uncharacterized protein	HP_1106	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	435
O25567	O25567_HELPY	unreviewed	Uncharacterized protein	HP_0909	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	201
O25147	O25147_HELPY	unreviewed	Uncharacterized protein	HP_0385	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	76
O25329	O25329_HELPY	unreviewed	Uncharacterized protein	HP_0608	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	160
O25194	O25194_HELPY	unreviewed	Uncharacterized protein	HP_0446	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	259
O24886	O24886_HELPY	unreviewed	GDP-L-fucose synthase (EC 1.1.1.271) (GDP-4-keto-6-deoxy-D-mannose-3,5-epimerase-4-reductase)	fcl HP_0045	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	310
O26023	O26023_HELPY	unreviewed	Uncharacterized protein	HP_1490	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	449
O25780	O25780_HELPY	unreviewed	Tetracycline resistance protein tetA(P), putative	HP_1165	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	386
O25977	O25977_HELPY	unreviewed	Uncharacterized protein	HP_1436	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	82
O25312	O25312_HELPY	unreviewed	Ferredoxin oxidoreductase, beta subunit	HP_0590	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	273
O25365	O25365_HELPY	unreviewed	Uncharacterized protein	HP_0650	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	196
O25452	O25452_HELPY	unreviewed	Beta-alanine synthetase homolog	HP_0757	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	292
O25708	O25708_HELPY	unreviewed	Conserved hypothetical secreted protein	HP_1075	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	438
O26086	O26086_HELPY	unreviewed	Uncharacterized protein	HP_1566	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	147
O25924	O25924_HELPY	unreviewed	Rod shape-determining protein (MreC)	HP_1372	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	248
O25555	O25555_HELPY	unreviewed	Uncharacterized protein	HP_0895	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	125
O24917	O24917_HELPY	unreviewed	Type-2 restriction enzyme (EC 3.1.21.4)	HP_0091	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	277
O25247	O25247_HELPY	unreviewed	Conserved hypothetical secreted protein	HP_0506	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	403
O25143	O25143_HELPY	unreviewed	Protoporphyrinogen oxidase (HemK)	HP_0381	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	276
O25382	O25382_HELPY	unreviewed	Outer membrane protein (Omp14)	HP_0671	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	270
O25607	O25607_HELPY	unreviewed	Uncharacterized protein	HP_0953	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	188
O25222	O25222_HELPY	unreviewed	Outer membrane protein (Omp12)	HP_0477	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	367
O25624	O25624_HELPY	unreviewed	Uncharacterized protein	HP_0971	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	413
O25517	O25517_HELPY	unreviewed	Type I restriction enzyme R Protein (EC 3.1.21.3)	HP_0846	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	866
O24981	O24981_HELPY	unreviewed	ABC transporter, ATP-binding protein	HP_0179	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	213
O25568	O25568_HELPY	unreviewed	Site-specific DNA-methyltransferase (adenine-specific) (EC 2.1.1.72)	HP_0910	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	379
O25486	O25486_HELPY	unreviewed	Uncharacterized protein	HP_0806	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	206
O25561	O25561_HELPY	unreviewed	Uncharacterized protein	HP_0901	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	41
O25811	O25811_HELPY	unreviewed	Uncharacterized protein	HP_1211	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	81
O25413	O25413_HELPY	unreviewed	Uncharacterized protein	HP_0709	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	300
O26026	O26026_HELPY	unreviewed	Uncharacterized protein	HP_1493	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	203
O25493	O25493_HELPY	unreviewed	Lactamase_B domain-containing protein	HP_0813	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	205
O25658	O25658_HELPY	unreviewed	7-alpha-hydroxysteroid dehydrogenase (HdhA)	HP_1014	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	262
O24955	O24955_HELPY	unreviewed	Cytochrome-c oxidase (EC 7.1.1.9)	HP_0144	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	488
O25388	O25388_HELPY	unreviewed	Probable membrane transporter protein	HP_0677	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	255
O24983	O24983_HELPY	unreviewed	Uncharacterized protein	HP_0181	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	224
O25570	O25570_HELPY	unreviewed	Outer membrane protein (Omp20)	HP_0912	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	515
O24951	O24951_HELPY	unreviewed	Conserved hypothetical secreted protein	HP_0139	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	242
O25483	O25483_HELPY	unreviewed	DUF3943 domain-containing protein	HP_0803	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	279
O25921	O25921_HELPY	unreviewed	Methyltransferase (EC 2.1.1.-)	HP_1368	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	287
O25476	O25476_HELPY	unreviewed	Conserved hypothetical integral membrane protein	HP_0787	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	410
O25712	O25712_HELPY	unreviewed	Conserved hypothetical integral membrane protein	HP_1080	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	189
O25066	O25066_HELPY	unreviewed	Para-aminobenzoate synthetase (PabB)	HP_0293	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	559
O25902	O25902_HELPY	unreviewed	Glyceraldehyde-3-phosphate dehydrogenase (Gap)	HP_1346	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	330
O25653	O25653_HELPY	unreviewed	Site-specific recombinase	HP_1009	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	186
O25009	O25009_HELPY	unreviewed	Nitrogen fixation protein NifU	HP_0221	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	326
O25270	O25270_HELPY	unreviewed	Cag pathogenicity island protein (Cag16)	HP_0537	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	376
O25644	O25644_HELPY	unreviewed	Uncharacterized protein	HP_0996	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	600
