85962.HP1102	O25730
85962.HP0116	P55991
85962.HP0194	P56076
85962.HP0390	O25151
85962.HP0747	O25443
85962.HP1148	O25766
85962.HP1277	P56141
85962.HP1278	P56142
85962.HP1279	O25867
85962.HP1280	P56737
85962.HP1282	O25869
85962.HP1281	O25868
85962.HP0361	P56144
85962.HP0926	P55985
85962.HP0825	P56431
85962.HP1563	P21762
85962.HP1584	P55996
85962.HP0480	O25225
85962.HP1347	P56397
85962.HP0072	P69996
85962.HP0073	P14916
85962.HP0070	Q09064
85962.HP0069	Q09065
85962.HP0068	Q09066
85962.HP0067	Q09067
85962.HP0071	Q09068
85962.HP0705	P56474
85962.HP1114	P94846
85962.HP0821	P56428
85962.HP0887	P55981
85962.HP0967	O25620
85962.HP0315	O05728
85962.HP0890	O05730
85962.HP0891	P0A0Q7
85962.HP0031	P64649
85962.HP0035	O24876
85962.HP0085	P64651
85962.HP1044	O25685
85962.HP1070	O07680
85962.HP0117	P56080
85962.HP0122	P64653
85962.HP1234	O25832
85962.HP1240	O25838
85962.HP1247	O25842
85962.HP1330	O25888
85962.HP1331	O25889
85962.HP0135	P64655
85962.HP1423	O25966
85962.HP1429	O25971
85962.HP1459	P55986
85962.HP1484	O26018
85962.HP1491	O26024
85962.HP1531	P64665
85962.HP1551	O26075
85962.HP1587	O26106
85962.HP1588	O26107
85962.HP0162	O24970
85962.HP0169	P56113
85962.HP0175	P56112
85962.HP0189	O24989
85962.HP0190	P56117
85962.HP0232	O25018
85962.HP0245	P64657
85962.HP0258	P56136
85962.HP0262	O25042
85962.HP0274	P56132
85962.HP0285	P56130
85962.HP0347	O25114
85962.HP0386	P64659
85962.HP0395	O25156
85962.HP0396	O25157
85962.HP0415	O25170
85962.HP0451	Q9WXL5
85962.HP0495	O25237
85962.HP0567	O25291
85962.HP0664	P64663
85962.HP0736	O25436
85962.HP0745	O25441
85962.HP0823	O25499
85962.HP0888	O05732
85962.HP0889	O05731
85962.HP0920	O25578
85962.HP0924	O25581
85962.HP0944	O25598
85962.HP0945	O25599
85962.HP0956	O25610
85962.HP1160	O25775
85962.HP0496	P94842
85962.HP0404	P64382
85962.HP1450	O25989
85962.HP1449	O25988
85962.HP1034	O25678
85962.HP0890	A0A0B2DXS5
85962.HP0644	A0A0B2E1J9
85962.HP1530	A0A0B2DQM2
85962.HP1362	A0A0B2E1S3
85962.HP0949	A0A0B2E5G7
85962.HP0111	A0A0B2E200
85962.HP0935	A0A0B2DTX0
85962.HP0239	A0A0B2DYN0
85962.HP0805	A0A0B2DXF5
85962.HP1200	A0A0B2E295
85962.HP1045	A0A0B2DX08
85962.HP0660	A0A0B2E4H4
85962.HP0235	A0A0B2DQY0
85962.HP0814	A0A0B2DZ58
85962.HP0600	A0A0B2DWP9
85962.HP1574	A0A0B2E1S4
85962.HP0160	A0A0B2E2T7
85962.HP0642	A0A0B2EJB8
85962.HP1279	A0A090B0P5
85962.HP0078	A0A083YEZ6
85962.HP1441	A0A0B2DW48
85962.HP0596	A0A083YFZ6
85962.HP0401	A0A0B2DZ35
85962.HP0236	A0A0B2E301
85962.HP0552	A0A0B2DVT0
85962.HP0735	A0A0B2DW99
85962.HP1291	A0A0B2DUZ5
85962.HP0645	A0A0B2DZR4
85962.HP1484	A0A0B2DQH8
85962.HP1032	A0A0B2E4X7
85962.HP1497	A0A0B2DUU3
85962.HP0037	A0A0B2E5U3
85962.HP0872	A0A083YF53
85962.HP0994	A0A0B2DWZ1
85962.HP1028	A0A0B2E188
85962.HP1217	A0A0B2DWV7
85962.HP0291	A0A0B2EVL5
85962.HP0547	Q9JP55
85962.HP1268	A0A0B2E0L1
85962.HP1431	A0A0B2DVN6
85962.HP0857	A0A0B2E4Y3
85962.HP1287	A0A0B2E692
85962.HP0466	A0A0B2DZY1
85962.HP1143	A0A0B2DXX8
85962.HP0417	A0A0B2E4N9
85962.HP1044	A0A0B2DT30
85962.HP1551	A0A0B2DTA1
85962.HP1117	A0A0B2DSI7
85962.HP0567	A0A0B2E075
85962.HP1266	A0A0B2E5B8
85962.HP0949	A0A0B2ENF6
85962.HP1226	A0A0B2E2E5
85962.HP0872	A0A0B2E8A2
85962.HP1011	A0A0B2E1A0
85962.HP1121	A0A0B2DTI1
85962.HP1104	A0A0B2DYD1
85962.HP1063	A0A0B2EDP9
85962.HP0478	A0A0B2E232
85962.HP0033	A0A0B2E3R1
85962.HP0050	A0A0B2E5Z0
85962.HP0371	A0A083YFT7
85962.HP1274	A0A0B2DVJ4
85962.HP1450	A0A0B2DVQ9
85962.HP0342	A0A0B2EME2
85962.HP0222	A0A0B2E4J1
85962.HP1362	A0A0B2DXR5
85962.HP0737	A0A0B2E235
85962.HP1227	A0A0B2DV48
85962.HP1443	A0A0B2DQB8
85962.HP0918	A0A0B2DZB5
85962.HP0507	A0A0B2DPW3
85962.HP0222	A0A0B2EQK8
85962.HP0810	A0A0B2DXF1
85962.HP0274	A0A0B2F0N6
85962.HP0729	A0A0B2E247
85962.HP1193	A0A0B2E5B2
85962.HP1484	A0A0B2ETY8
85962.HP0374	A0A0B2DZJ7
85962.HP0034	A0A0B2E4M0
85962.HP0874	A0A0B2E3A9
85962.HP1177	A0A0B2DW16
85962.HP1237	A0A0B2DQU9
85962.HP1477	A0A0B2DQI4
85962.HP1442	A0A0B2EHL6
85962.HP0106	A0A0B2E2H1
85962.HP1291	A0A0B2E680
85962.HP0371	A0A0B2DZW1
85962.HP0252	A0A0B2DWA5
85962.HP0101	A0A0B2E2G4
85962.HP0180	A0A0B2E2S0
85962.HP1049	A0A0B2EZK1
85962.HP0542	Q75XC8
85962.HP0236	A0A0B2ENK2
85962.HP0237	A0A0B2DWH1
85962.HP0222	A0A0B2DRP3
85962.HP0858	A0A0B2E530
85962.HP0129	A0A0B2ESA7
85962.HP0934	A0A0B2DZ85
85962.HP0793	Q2L8P6
85962.HP0615	A0A0B2DR31
85962.HP0222	A0A0B2DX19
85962.HP1049	A0A0B2EV06
85962.HP1448	A0A0B2DQC3
85962.HP1524	A0A083YEJ6
85962.HP0762	A0A0B2E0L5
85962.HP0863	A0A0B2DZH9
85962.HP1583	A0A0B2DXC9
85962.HP1064	A0A024C583
85962.HP0479	A0A0B2DZH0
85962.HP0972	A0A0B2DY20
85962.HP1284	A0A0B2E0J8
85962.HP0181	A0A0B2E263
85962.HP0308	A0A0B2DW72
85962.HP1535	Q68I78
85962.HP1279	G3XK49
85962.HP0896	E5FPV9
85962.HP1279	A2B6E7
85962.HP1279	A2B705
85962.HP0549	B5M1K2
85962.HP1279	A2B6C6
85962.HP0549	B5M1A4
85962.HP0549	D0V663
85962.HP0549	B5M1B5
85962.HP0647	A0A0B2EY40
85962.HP1279	A2B6S6
85962.HP1279	A2B700
85962.HP0901	A0A0B2DZC2
85962.HP1279	E6ZC05
85962.HP1500	A0A0B2DUT7
85962.HP1279	A2B6C8
85962.HP1349	A0A0B2DW77
85962.HP1239	A0A0B2EEN9
85962.HP1279	G3XK33
85962.HP1389	A0A0B2DQW2
85962.HP1279	Q9S3H4
85962.HP1279	A2B6C9
85962.HP0549	B5M153
85962.HP1279	A2B7F6
85962.HP0596	A0A0B2DYE3
85962.HP1279	G3XJZ1
85962.HP0994	A0A024C2P5
85962.HP0549	B5M1D1
85962.HP0549	B5M145
85962.HP0549	B5M156
85962.HP0549	B5M1G8
85962.HP1279	E6ZC40
85962.HP1279	A2B6Z4
85962.HP1279	Q9Z5N9
85962.HP1095	Q68IF6
85962.HP1279	A2B6H1
85962.HP0549	B5M165
85962.HP1279	Q0Q6X8
85962.HP0549	B5M1E3
85962.HP0549	G9HTE2
85962.HP1279	A2B7U5
85962.HP0549	B5M1G4
85962.HP1279	A2B6D5
85962.HP0549	D0V665
85962.HP0549	D0V697
85962.HP0886	D0V5T8
85962.HP0887	Q8RJH8
85962.HP0547	Q9Z365
85962.HP0549	D0V669
85962.HP1279	E6ZC29
85962.HP1279	A2B6E0
85962.HP1279	A2B6D4
85962.HP0887	D9YML3
85962.HP0547	Q9ETN9
85962.HP0886	B5M1K5
85962.HP0457	Q8RMZ0
85962.HP0549	B5M1A1
85962.HP0367	A0A0B2DTV3
85962.HP1487	A0A0B2DV21
85962.HP1535	Q79C04
85962.HP0887	Q8RIV0
85962.HP1279	D5K558
85962.HP0234	A0A0B2DRX2
85962.HP1279	A2B6T4
85962.HP0886	D0V5U2
85962.HP0887	D0VDK2
85962.HP0887	R4V730
85962.HP1535	P97210
85962.HP1279	A2B840
85962.HP1142	B1GYI7
85962.HP0642	Q4TTN9
85962.HP0641	A0A0B2E3H7
85962.HP1279	B5AXW2
85962.HP0520	Q75XK4
85962.HP0142	A2B221
85962.HP0142	D5K4D5
85962.HP1279	D5K565
85962.HP0642	E1CEF3
85962.HP1534	A0A060CUF7
85962.HP0547	Q9R428
85962.HP1279	A2B6F1
85962.HP0341	A0A0B2EL61
85962.HP0886	D0V5V8
85962.HP0547	Q9Z5L6
85962.HP0887	C6ZHS6
85962.HP0547	Q9Z5L4
85962.HP1535	A0A060D0F0
85962.HP0886	D0V5V0
85962.HP0549	G9HTD1
85962.HP0887	Q9K2T9
85962.HP1279	A2B741
85962.HP0142	G3XJI7
85962.HP0886	B5M1M7
85962.HP0142	A2B2I5
85962.HP0642	Q5UC53
85962.HP0887	Q9R356
85962.HP0142	A2B2J7
85962.HP0549	B5M150
85962.HP1566	A0A0B2EMQ4
85962.HP0993	A0A060CZU4
85962.HP0886	Q8G934
85962.HP0142	A2B2J9
85962.HP0887	C0KTT5
85962.HP0954	E1CEF5
85962.HP0886	Q8G938
85962.HP1534	Q68IG7
85962.HP0887	Q8RIX8
85962.HP1279	G3XK28
85962.HP1065	A0A0B2DY00
85962.HP0887	Q8G8Y7
85962.HP0522	A0A0B2DP09
85962.HP0460	Q8RMY8
85962.HP0549	B5M1D9
85962.HP1095	Q68II1
85962.HP1279	Q9Z5P0
85962.HP0477	A0A0B2ERQ0
85962.HP1173	A0A0B2E0Q6
85962.HP0887	Q8VLG9
85962.HP0887	Q8RIV7
85962.HP0547	E7CH03
85962.HP0886	D0V5T7
85962.HP1279	G3XJY9
85962.HP0549	B5M163
85962.HP0702	A0A0B2E0Y0
85962.HP0702	A0A0B2E745
85962.HP0780	A0A0B2E1W6
85962.HP1279	A2B707
85962.HP0887	Q9R2Y6
85962.HP0887	Q8RIX7
85962.HP0142	A2B3X8
85962.HP0547	Q9JP54
85962.HP0887	Q9R2X1
85962.HP0547	C6ZI46
85962.HP0887	Q9R355
85962.HP0754	A0A0B2EZP3
85962.HP1440	A0A0B2DUX5
85962.HP0547	C6ZI16
85962.HP0051	Q8VL60
85962.HP1279	A2B7T8
85962.HP1279	Q0Q6Y0
85962.HP0375	A0A0B2DXV8
85962.HP0547	Q8G8H6
85962.HP0887	Q8RIV6
85962.HP0887	Q8RIW3
85962.HP1279	A2B762
85962.HP0520	Q75XE9
85962.HP1279	A2B761
85962.HP1535	Q68I53
85962.HP0887	Q8RIX2
85962.HP0549	B5M1C7
85962.HP0128	A0A0B2E233
85962.HP0142	A2B2I1
85962.HP1535	Q68I58
85962.HP0887	Q9R2Y5
85962.HP1279	Q8VNF1
85962.HP0756	A0A0B2EHZ0
85962.HP1279	A2B6V4
85962.HP0834	A2BCB9
85962.HP1095	Q68IH5
85962.HP0149	A0A0B2DY81
85962.HP1279	Q8VNE8
85962.HP1279	Q8VNF2
85962.HP0458	G5EAR9
85962.HP1279	A2B8C3
85962.HP0024	A0A0B2E4E1
85962.HP1095	Q68II4
85962.HP1279	G3XK08
85962.HP1279	A2B6E5
85962.HP0549	B5M191
85962.HP0142	A0A090C022
85962.HP1279	Q8VNF6
85962.HP0771	A0A0B2DZQ4
85962.HP0887	D9YMR6
85962.HP1279	A2B723
85962.HP0887	Q8RIX3
85962.HP0549	B5M1A9
85962.HP0549	Q8G920
85962.HP1535	Q68I69
85962.HP1279	Q8VNE5
85962.HP0549	B5M1D0
85962.HP1279	A2B6E2
85962.HP0549	D0V688
85962.HP0549	B5M154
85962.HP1051	A0A0B2DYB5
85962.HP0549	D0V6A6
85962.HP1535	Q68I55
85962.HP1279	A2B766
85962.HP1284	A0A0B2EIL6
85962.HP1469	A8HUJ8
85962.HP0887	D9YML2
85962.HP0669	V6CKU8
85962.HP1354	V6CKS5
85962.HP1354	V6CI89
85962.HP1019	G2J5T2
85962.HP1369m	V6CKT4
85962.HP1018	G1JZF0
85962.HP0072	Q8KT33
85962.HP0073	Q8KJ06
85962.HP1577	O30553
85962.HP1185	A0A086RQ07
85962.HP0676	A0A086RTW6
85962.HP0567	A0A086RU65
85962.HP1359	A0A086RS20
85962.HP0130	A0A086RSB2
85962.HP0291	A0A086RSR3
85962.HP0292	A0A086RSR4
85962.HP0955	A0A086RP15
85962.HP1291	A0A086RQA6
85962.HP1545	A0A086RRU2
85962.HP0356	A0A086RSX2
85962.HP1221	A0A086RQ39
85962.HP0857	A0A086RTC7
85962.HP1451	A0A086RRJ0
85962.HP0819	A0A086RTG1
85962.HP0237	A0A086RSL2
85962.HP1583	A0A086RRX6
85962.HP0050	A0A086RS37
85962.HP0785	A0A0B2E3G7
85962.HP0401	A0A0B2E811
85962.HP0329	A0A0B2EGJ8
85962.HP1045	A0A0B2EB17
85962.HP0211	A0A0B2ERJ2
85962.HP0050	A0A0B2EFH1
85962.HP1232	A0A0B2DYA8
85962.HP1143	A0A0B2DWP7
85962.HP1523	A0A0B2EB33
85962.HP0585	A0A0B2EJZ6
85962.HP0219	A0A0B2EY57
85962.HP0291	A0A0B2EMV6
85962.HP0361	A0A0B2EE92
85962.HP0087	A0A0B2E6A9
85962.HP1382	A0A0B2E8S1
85962.HP0887	A0A0B2EBT4
85962.HP0181	A0A0B2EQH0
85962.HP0929	A0A0B2EQT3
85962.HP0477	A0A0B2EWK6
85962.HP0012	A0A0B2EZ10
85962.HP1011	A0A0B2EZ90
85962.HP0236	A0A0B2E6B1
85962.HP0079	A0A0B2EAQ9
85962.HP1279	A0A0B2EFU3
85962.HP0761	A0A0B2EZP5
85962.HP0926	A0A0B2END8
85962.HP0051	A0A0B2EXX7
85962.HP0795	A0A0B2EZR7
85962.HP0872	A0A0B2EW89
85962.HP1253	A0A0B2EKF9
85962.HP0222	A0A0B2ERJ8
85962.HP0181	A0A0B2ESL3
85962.HP0252	A0A0B2EVQ5
85962.HP0181	A0A083YDN5
85962.HP0886	A0A0A7CCY9
85962.HP1523	A0A086RRQ4
85962.HP0101	A0A0B2E5N2
85962.HP1277	A0A0B2EES6
85962.HP0180	A0A0B2EPY8
85962.HP1392	A0A0B2DTC0
85962.HP0796	A0A0B2DVT7
85962.HP0029	A0A0B2EAH8
85962.HP0935	A0A0B2EEF1
85962.HP0975	A0A0B2EZ98
85962.HP0510	A0A0B2F0W7
85962.HP1160	A0A083YFN9
85962.HP0323	A0A086RSU2
85962.HP0050	A0A083YEX0
85962.HP1478	A0A086RRL6
85962.HP0808	A0A086RTH1
85962.HP0949	A0A0B2E7N4
85962.HP0941	A0A0B2EUQ4
85962.HP1063	A0A0B2EZF1
85962.HP0266	A0A0B2E0V1
85962.HP0022	A0A0B2ED85
85962.HP0934	A0A0B2EE75
85962.HP0577	A0A0B2EEY1
85962.HP0401	A0A0B2ESE7
85962.HP1284	A0A0B2EU00
85962.HP0308	A0A086RSS9
85962.HP1045	A0A0B2EJY9
85962.HP1535	A0A0B2DZ73
85962.HP1431	A0A0B2E118
85962.HP0377	A0A0B2E7Z6
85962.HP0510	A0A0B2EAE1
85962.HP0082	A0A0B2EHL1
85962.HP1499	A0A0B2ETB9
85962.HP0858	A0A0B2EYC3
85962.HP0037	A0A0B2ETK9
85962.HP0874	A0A0B2E3R0
85962.HP1382	A0A0B2EIP2
85962.HP0918	A0A0B2EJ08
85962.HP0309	A0A0B2ELS1
85962.HP1274	A0A0B2ELY7
